Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #7827
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.9000
Water Temp (deg C),24.10
Room Temp (deg C),24.09
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.09
90.00,24.10
120.00,24.08
150.00,24.11
180.00,24.11
210.00,24.10
240.00,24.09
270.00,24.09
300.00,24.11
330.00,25.04
360.00,26.48
390.00,27.58
420.00,28.25
450.00,28.64
480.00,28.90
510.00,28.99
540.00,29.08
570.00,29.10
600.00,29.12
630.00,29.12
660.00,29.12
690.00,29.11
720.00,29.10
750.00,29.13
780.00,29.13
810.00,29.11
840.00,29.10
870.00,29.08
900.00,29.10
930.00,29.09
960.00,29.08
