Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #7827
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9000
Water Temp (deg C),25.30
Room Temp (deg C),25.40
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,25.30
30.00,25.32
60.00,25.30
90.00,25.30
120.00,25.31
150.00,25.30
180.00,25.31
210.00,25.31
240.00,25.33
270.00,25.33
300.00,25.29
330.00,26.73
360.00,28.95
390.00,30.59
420.00,31.61
450.00,32.23
480.00,32.57
510.00,32.75
540.00,32.86
570.00,32.90
600.00,32.93
630.00,32.93
660.00,32.93
690.00,32.94
720.00,32.93
750.00,32.95
780.00,32.94
810.00,32.91
840.00,32.93
870.00,32.92
900.00,32.91
930.00,32.91
960.00,32.92
