Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #7827
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.9000
Water Temp (deg C),25.10
Room Temp (deg C),25.11
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,25.10
30.00,25.10
60.00,25.09
90.00,25.09
120.00,25.12
150.00,25.08
180.00,25.08
210.00,25.10
240.00,25.09
270.00,25.10
300.00,25.11
330.00,25.64
360.00,26.51
390.00,27.15
420.00,27.57
450.00,27.77
480.00,27.90
510.00,28.00
540.00,28.03
570.00,28.06
600.00,28.07
630.00,28.07
660.00,28.07
690.00,28.06
720.00,28.06
750.00,28.04
780.00,28.04
810.00,28.06
840.00,28.03
870.00,28.03
900.00,28.04
930.00,28.04
960.00,28.04
